id,type,profit,carbon,energy,failedP,unsatprops,inferences,time,numIntents,size,rate
3,"multiDips_3_(0, 0, 100)",6.4349385437675215,0.21134949213334892,0.5810277393353853,2,"[[], [], [], [], []]",177192,0.039692,5,5,0.2
3,"multiDips_2_(0, 0, 100)",7.707112699405473,0.1780342049995716,0.7334621555165197,1,"[[], [], [], [], []]",95304,0.028037,5,5,0.2
3,"multiDips_2_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.154442132599636,0.3474818057418349,0.642107966318817,2,"[[], [], [], [], []]",95739,0.028095,5,5,0.2
3,"multiDips_4_(100, 0, 0)",6.154442132599636,0.3474818057418349,0.642107966318817,2,"[[], [], [], [], []]",99428,0.029681,5,5,0.2
3,"multiDips_4_(0, 100, 0)",6.193972662812817,0.21244000338538385,0.6203411134633234,2,"[[], [], [], [], []]",106743,0.030604,5,5,0.2
3,"multiDips_4_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",7.710721086468386,0.18759644490577607,0.7374454270327868,1,"[[], [], [], [], []]",98372,0.029973,5,5,0.2
3,"multiDips_4_(0, 0, 100)",6.4349385437675215,0.21134949213334892,0.5810277393353853,2,"[[], [], [], [], []]",214686,0.046487,5,5,0.2
4,"multiDips_1_(0, 100, 0)",8.05265640008048,0.1821137929390652,0.6654149683381644,1,"[[], [], [], [], []]",98772,0.027378,5,5,0.2
4,"multiDips_1_(100, 0, 0)",8.06752862854156,0.21917531346395275,0.6739603765560171,1,"[[], [], [], [], []]",96655,0.027419,5,5,0.2
4,"multiDips_2_(100, 0, 0)",6.155657514052747,0.34947710725099884,0.6419580871466526,2,"[[], [], [], [], []]",96041,0.028225,5,5,0.2
4,"multiDips_2_(0, 100, 0)",7.698385448799412,0.15240639733811226,0.7252044601417189,1,"[[], [], [], [], []]",94331,0.028162,5,5,0.2
4,MILP,10.162208856938445,0.29191824474382055,0.9787627066899365,0,-,0,0.139821,5,5,0.2
4,"multiDips_1_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",8.057585996482388,0.1945922042933294,0.6722525603533809,1,"[[], [], [], [], []]",91354,0.026504,5,5,0.2
4,"multiDips_1_(0, 0, 100)",7.80875009057171,0.17277397272076506,0.7018504363858007,1,"[[], [], [], [], []]",83833,0.025341,5,5,0.2
4,"multiDips_3_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.477846302447933,0.29888143354204655,0.5705607565397339,2,"[[], [], [], [], []]",110686,0.030154,5,5,0.2
4,"multiDips_4_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.249434059543622,0.3294160812823315,0.6132553358837859,2,"[[], [], [], [], []]",101712,0.030338,5,5,0.2
4,"multiDips_4_(0, 100, 0)",8.05265640008048,0.18211379293906524,0.6654149683381644,1,"[[], [], [], [], []]",210944,0.045761,5,5,0.2
4,"multiDips_3_(100, 0, 0)",6.477846302447933,0.29888143354204655,0.5705607565397339,2,"[[], [], [], [], []]",110889,0.030439,5,5,0.2
4,"multiDips_2_(0, 0, 100)",7.702749074102442,0.1637003011688419,0.7261333078291192,1,"[[], [], [], [], []]",93678,0.027667,5,5,0.2
4,"multiDips_4_(100, 0, 0)",6.477846302447933,0.29888143354204655,0.5705607565397339,2,"[[], [], [], [], []]",121047,0.032961,5,5,0.2
4,"multiDips_3_(0, 0, 100)",8.054079596829446,0.18145736529945977,0.660265909945263,1,"[[], [], [], [], []]",164389,0.038598,5,5,0.2
4,"multiDips_3_(0, 100, 0)",8.054079596829446,0.18145736529945977,0.660265909945263,1,"[[], [], [], [], []]",164712,0.038392,5,5,0.2
4,"multiDips_2_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.154442132599636,0.3474818057418349,0.642107966318817,2,"[[], [], [], [], []]",95739,0.028422,5,5,0.2
4,"multiDips_4_(0, 0, 100)",6.113204968285732,0.2665805090696019,0.6536701806113755,2,"[[], [], [], [], []]",100372,0.03113,5,5,0.2
5,"multiDips_1_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",5.3822239482483205,0.12513202926875122,0.46681478242231944,2,"[[], [], [], [], []]",77389,0.025417,5,5,0.2
5,"multiDips_1_(100, 0, 0)",5.396530205610522,0.1625290422701042,0.472651446312356,2,"[[], [], [], [], []]",77464,0.024632,5,5,0.2
5,"multiDips_1_(0, 100, 0)",5.385016397272906,0.1307852657000593,0.4653779519760316,2,"[[], [], [], [], []]",77287,0.024139,5,5,0.2
5,"multiDips_3_(0, 0, 100)",6.413543376910026,0.1545527199579911,0.5737881104658805,2,"[[], [], [], [], []]",122793,0.032061,5,5,0.2
5,"multiDips_3_(0, 100, 0)",6.413543376910026,0.1545527199579911,0.5737881104658805,2,"[[], [], [], [], []]",122981,0.031677,5,5,0.2
5,"multiDips_2_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.154442132599636,0.3474818057418349,0.642107966318817,2,"[[], [], [], [], []]",95739,0.028,5,5,0.2
5,"multiDips_1_(0, 0, 100)",5.387447160179127,0.13325586871838727,0.4618781936317027,2,"[[], [], [], [], []]",77208,0.024852,5,5,0.2
5,"multiDips_2_(100, 0, 0)",6.155657514052747,0.34947710725099884,0.6419580871466526,2,"[[], [], [], [], []]",96041,0.028398,5,5,0.2
5,"multiDips_2_(0, 100, 0)",6.057849228879991,0.1255017519966436,0.6387266606623364,2,"[[], [], [], [], []]",95556,0.028276,5,5,0.2
5,"multiDips_2_(0, 0, 100)",6.062212854183022,0.13679565582737324,0.6396555083497367,2,"[[], [], [], [], []]",95148,0.027889,5,5,0.2
5,"multiDips_3_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.477846302447933,0.29888143354204655,0.5705607565397339,2,"[[], [], [], [], []]",110686,0.030461,5,5,0.2
5,"multiDips_4_(0, 0, 100)",6.121765740255055,0.2903945876246844,0.666926020604419,2,"[[], [], [], [], []]",97936,0.02917,5,5,0.2
5,MILP,8.574256258130422,0.38567546932679064,0.8952095633208256,1,-,0,0.168092,5,5,0.2
5,"multiDips_3_(100, 0, 0)",6.477846302447933,0.29888143354204655,0.5705607565397339,2,"[[], [], [], [], []]",110889,0.03055,5,5,0.2
5,"multiDips_4_(100, 0, 0)",6.427052268711614,0.19028540215571102,0.5837459900363149,2,"[[], [], [], [], []]",98884,0.029444,5,5,0.2
5,"multiDips_4_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.154442132599636,0.3474818057418349,0.642107966318817,2,"[[], [], [], [], []]",97890,0.029644,5,5,0.2
5,"multiDips_4_(0, 100, 0)",6.41891456837031,0.17049365444665415,0.5795662582018533,2,"[[], [], [], [], []]",97893,0.030103,5,5,0.2
6,"multiDips_1_(0, 100, 0)",5.724052797501082,0.12357876518858353,0.39612706065939485,2,"[[], [], [], [], []]",116019,0.030135,5,5,0.2
6,"multiDips_1_(100, 0, 0)",5.735210811013365,0.15015717586837082,0.39768499768986665,2,"[[], [], [], [], []]",126143,0.031584,5,5,0.2
6,"multiDips_3_(0, 100, 0)",4.427209843784151,0.14871762903503588,0.5794493878738469,3,"[[], [], [], [], []]",99838,0.028363,5,5,0.2
6,"multiDips_1_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",5.735210811013365,0.15015717586837082,0.39768499768986665,2,"[[], [], [], [], []]",126095,0.031456,5,5,0.2
6,"multiDips_1_(0, 0, 100)",5.724052797501082,0.12357876518858353,0.39612706065939485,2,"[[], [], [], [], []]",115966,0.030221,5,5,0.2
6,"multiDips_2_(100, 0, 0)",3.7916485740050603,0.2246480782940364,0.3875905647090421,3,"[[], [], [], [], []]",104864,0.029483,5,5,0.2
6,"multiDips_3_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",4.509134970807168,0.31319753086516966,0.5560473789028926,3,"[[], [], [], [], []]",97975,0.027932,5,5,0.2
6,"multiDips_3_(0, 0, 100)",4.427209843784151,0.14871762903503588,0.5794493878738469,3,"[[], [], [], [], []]",99723,0.028535,5,5,0.2
6,"multiDips_3_(100, 0, 0)",4.509134970807168,0.31319753086516966,0.5560473789028926,3,"[[], [], [], [], []]",98152,0.02842,5,5,0.2
6,"multiDips_2_(0, 100, 0)",4.427209843784151,0.1452976290350359,0.572249387873847,3,"[[], [], [], [], []]",98949,0.028506,5,5,0.2
6,"multiDips_4_(0, 0, 100)",5.724052797501083,0.12357876518858352,0.39612706065939485,2,"[[], [], [], [], []]",137410,0.035253,5,5,0.2
6,"multiDips_2_(0, 0, 100)",4.427209843784151,0.1452976290350359,0.572249387873847,3,"[[], [], [], [], []]",98625,0.028628,5,5,0.2
6,"multiDips_4_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",4.509134970807168,0.31319753086516966,0.5560473789028926,3,"[[], [], [], [], []]",100793,0.02997,5,5,0.2
6,"multiDips_4_(0, 100, 0)",5.724052797501083,0.12357876518858352,0.39612706065939485,2,"[[], [], [], [], []]",179961,0.040969,5,5,0.2
6,"multiDips_2_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",3.7916485740050603,0.2246480782940364,0.3875905647090421,3,"[[], [], [], [], []]",104793,0.029592,5,5,0.2
6,"multiDips_4_(100, 0, 0)",5.391990807917857,0.15475522634261227,0.47284775049551586,2,"[[], [], [], [], []]",102135,0.029737,5,5,0.2
6,MILP,6.246895513221769,0.32955334986431073,0.6191261409251095,2,-,0,0.257203,5,5,0.2
7,"multiDips_1_(100, 0, 0)",3.9780122241809694,0.09293565583542085,0.34922329189000917,3,"[[], [], [], [], []]",91218,0.026198,5,5,0.2
7,"multiDips_1_(0, 100, 0)",4.075443481762045,0.07447756976078442,0.30738858721784257,3,"[[], [], [], [], []]",103845,0.027925,5,5,0.2
7,"multiDips_2_(0, 100, 0)",3.7323245621202124,0.07889602658442217,0.37669989478199384,3,"[[], [], [], [], []]",99796,0.028353,5,5,0.2
7,"multiDips_1_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",3.9780122241809694,0.09293565583542085,0.34922329189000917,3,"[[], [], [], [], []]",90994,0.026469,5,5,0.2
7,"multiDips_2_(100, 0, 0)",2.1264621299672974,0.13821014333132112,0.2997504661577203,4,"[[], [], [], [], []]",103564,0.029267,5,5,0.2
7,"multiDips_2_(0, 0, 100)",3.7323245621202124,0.07889602658442217,0.37669989478199384,3,"[[], [], [], [], []]",99611,0.028443,5,5,0.2
7,"multiDips_3_(100, 0, 0)",2.3588252861154677,0.12120043281114257,0.26497025163176574,4,"[[], [], [], [], []]",170540,0.038575,5,5,0.2
7,MILP,4.075443481762045,0.07447756976078442,0.30738858721784257,3,-,0,0.171842,5,5,0.2
7,"multiDips_2_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",2.1264621299672974,0.13821014333132112,0.2997504661577203,4,"[[], [], [], [], []]",103484,0.029602,5,5,0.2
7,"multiDips_1_(0, 0, 100)",4.075443481762045,0.07447756976078442,0.30738858721784257,3,"[[], [], [], [], []]",103849,0.02881,5,5,0.2
7,"multiDips_4_(100, 0, 0)",3.7383637120893454,0.09396886950895458,0.38358340795393236,3,"[[], [], [], [], []]",101031,0.030378,5,5,0.2
7,"multiDips_3_(0, 0, 100)",3.9732904430749167,0.07780551533238722,0.3373865206540557,3,"[[], [], [], [], []]",146617,0.035237,5,5,0.2
7,"multiDips_3_(0, 100, 0)",3.9732904430749167,0.07780551533238722,0.3373865206540557,3,"[[], [], [], [], []]",146772,0.035117,5,5,0.2
7,"multiDips_4_(0, 100, 0)",3.9732904430749167,0.08084551533238724,0.34378652065405574,3,"[[], [], [], [], []]",118516,0.032606,5,5,0.2
7,"multiDips_4_(0, 0, 100)",3.9732904430749167,0.07780551533238722,0.3373865206540557,3,"[[], [], [], [], []]",121619,0.033441,5,5,0.2
7,"multiDips_4_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",2.457517810153232,0.10636499810383755,0.22800053743580043,4,"[[], [], [], [], []]",143017,0.035702,5,5,0.2
7,"multiDips_3_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",2.3588252861154677,0.12120043281114257,0.26497025163176574,4,"[[], [], [], [], []]",170470,0.039188,5,5,0.2
8,"multiDips_1_(100, 0, 0)",5.720611002369827,0.11107912381744031,0.3924594681235689,2,"[[], [], [], [], []]",104917,0.028427,5,5,0.2
8,"multiDips_1_(0, 100, 0)",5.710400694925325,0.08809300976235945,0.3930874181819892,2,"[[], [], [], [], []]",127544,0.031737,5,5,0.2
8,"multiDips_1_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",5.711616076378435,0.09008831127152342,0.3929375390098248,2,"[[], [], [], [], []]",127651,0.031594,5,5,0.2
8,"multiDips_2_(100, 0, 0)",6.134726658997881,0.305382941242154,0.651931060773109,2,"[[], [], [], [], []]",95557,0.027814,5,5,0.2
8,"multiDips_1_(0, 0, 100)",5.710400694925325,0.08809300976235945,0.3930874181819892,2,"[[], [], [], [], []]",127727,0.031363,5,5,0.2
8,"multiDips_3_(0, 100, 0)",7.704535580769109,0.16879612396884194,0.729839974495786,1,"[[], [], [], [], []]",94764,0.028081,5,5,0.2
8,"multiDips_2_(0, 100, 0)",7.698385448799412,0.15240639733811226,0.7252044601417189,1,"[[], [], [], [], []]",94331,0.027756,5,5,0.2
8,"multiDips_2_(0, 0, 100)",7.702749074102442,0.1637003011688419,0.7261333078291192,1,"[[], [], [], [], []]",93678,0.027374,5,5,0.2
8,"multiDips_3_(100, 0, 0)",6.134155533784325,0.30228241995131794,0.6480745149342779,2,"[[], [], [], [], []]",96051,0.028486,5,5,0.2
8,"multiDips_3_(0, 0, 100)",7.704535580769109,0.16879612396884194,0.729839974495786,1,"[[], [], [], [], []]",94014,0.028362,5,5,0.2
8,"multiDips_4_(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",6.22887978534298,0.282773690607357,0.6151576507603036,2,"[[], [], [], [], []]",108978,0.031466,5,5,0.2
